work_name,author,impact_year,polity,criterion_category,criterion_label,in_group,out_group,resource,speaker,verbatim,file_path,extraction_method,matched_keywords,extraction_cost_usd,prompt_tokens,completion_tokens,in_group_std,out_group_std,resource_std
Fragments,Epictetus,85,Roman Empire;(Roman Empire),FREEDOM_STATUS,Free persons have liberty while slaves lack freedom,Free persons,Slaves,Personal freedom and legal autonomy,author,"For no one is a slave whose will is free. Fortune is an evil chain to the body, and vice to the soul. For he whose body is unbound, and whose soul is chained, is a slave. On the contrary, he whose body is chained, and his soul unbound, is free.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0557/tlg003a/tlg0557.tlg003a.perseus-eng4.txt,"HYBRID_EXTRACTED (15 passages, 8 pages from original 14 pages)","boy, fortune, free, freed, slave, slavery, slaves, vice",0.150195,8118,379,Free persons,Slaves,Freedom
Fragments,Epictetus,85,Roman Empire;(Roman Empire),FREEDOM_STATUS,Free persons should not be served by slaves,Free persons,Slaves,Freedom from slavery,author,"What you avoid suffering yourself, seek not to impose on others. You avoid slavery, for instance; take care not to enslave. For if you can bear to exact slavery from others, you appear to have been yourself a slave. For vice has nothing in common with virtue, nor freedom with slavery. As a person in health would not wish to be attended by the sick, nor to have those who live with him in a state of sickness; so neither would a person who is free bear to be served by slaves, nor to have those who live with him in a state of slavery.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0557/tlg003a/tlg0557.tlg003a.perseus-eng4.txt,"HYBRID_EXTRACTED (15 passages, 8 pages from original 14 pages)","bar, common, commoner, enslaved, estate, free, freed, freedman, freedmen, freedom, mother, slave, slavery, slaves, statute, vice, wealth",0.150195,8118,379,Free persons,Slaves,Freedom
Shield of Heracles,Hesiod,-740,Greek City-States,GENDER,Women excluded from public decision-making,Men,Women,Decision-making power in public affairs,narrator,It is for the man to take care of business outside the house; let no woman make decrees in those matters,/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0020/tlg003/tlg0020.tlg003.perseus-eng2.txt,"HYBRID_EXTRACTED (13 passages, 8 pages from original 11 pages)","decree, man, masters, woman, women",0.125745,7733,130,Men,Women,Political participation
The Discourses of Epictetus,Epictetus,85,Roman Empire;(Roman Empire),FREEDOM_STATUS,Slaves excluded from freedom and self-determination,Free persons,Slaves,Personal freedom and legal autonomy,Epictetus,"But I have purchased them, and they have not purchased me. Do you see in what direction this tends? that you are a slave to those who have purchased you, for no man can be a slave to those whom he has purchased.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0557/tlg001/tlg0557.tlg001.perseus-eng3.txt,"HYBRID_EXTRACTED (31 passages, 9 pages from original 331 pages)","man, slave, slavery, slaves",0.157395,8258,447,Free persons,Slaves,Freedom
The Discourses of Epictetus,Epictetus,85,Roman Empire;(Roman Empire),GENDER,Women excluded from philosophical education,Men,Women,Access to philosophical education and discourse,Epictetus,"Come take a young man, bring him up according to your doctrines. The doctrines are bad, subversive of a state, pernicious to families, and not becoming to women. Dismiss them, man.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0557/tlg001/tlg0557.tlg001.perseus-eng3.txt,"HYBRID_EXTRACTED (31 passages, 9 pages from original 331 pages)","estate, family, man, statute, woman, women, young, younger",0.157395,8258,447,Men,Women,Cultural participation
The Discourses of Epictetus,Epictetus,85,Roman Empire;(Roman Empire),FREEDOM_STATUS,Masters have power over slaves' bodies and circumstances,Masters,Slaves,Control over one's own body and circumstances,Epictetus,Therefore it must of necessity be that those who have the power over any of these circumstances must be our masters. For consider: who is the master of a slave? It is not his master? but it is the circumstance which has the power of procuring or not procuring for him what he desires.,/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0557/tlg001/tlg0557.tlg001.perseus-eng3.txt,"HYBRID_EXTRACTED (31 passages, 9 pages from original 331 pages)","govern, master, masters, owner, power, slave, slavery, slaves",0.157395,8258,447,Free persons,Slaves,Freedom
The Shepherd of Hermas,Hermas,150,Roman Empire;(Roman Empire),PROPERTY_WEALTH,Wealthy citizens obligated to share resources with the poor,The wealthy,The poor,Wealth and material necessities,narrator,So also the poor; interceding with the Lord for the rich; complement their wealth; and again; the rich helping the poor with their necessities complement their prayers. Both; therefore; share in the righteous work. Therefore he who does these things shall not be deserted by God; but shall be inscribed in the books of the living.,/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg1419/tlg001/tlg1419.tlg001.perseus-eng1.txt,"HYBRID_EXTRACTED (31 passages, 8 pages from original 82 pages)","deserter, desertion, heir, poor, rich, rights, scribe, shame, wealth, wealthy, work",0.14565,7845,373,Property owners,Poor/Non-property owners,Property/Wealth
The Shepherd of Hermas,Hermas,150,Roman Empire;(Roman Empire),FREEDOM_STATUS,Slaves excluded from freedom until granted by master,Free persons,Slaves/servants,Personal freedom,narrator,"And they congratulated the servant on the character which the master gave him. And he said to them: I promised this servant his freedom if he kept the orders which I gave him. Now he has kept my orders, and has added good work in the vineyard, and greatly pleased me. So in reward for this work which he has done I wish to make him joint heir with my son, because, when he had a good thought he did not put it on one side, but carried it out.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg1419/tlg001/tlg1419.tlg001.perseus-eng1.txt,"HYBRID_EXTRACTED (31 passages, 8 pages from original 82 pages)","freed, freedman, freedmen, freedom, heir, master, masters, servant, servants, son, work",0.14565,7845,373,Free persons,Slaves,Freedom
Epistles,Ignatius of Antioch,70,Roman Empire;(Roman Empire),MORAL_CONDUCT,Those who corrupt families excluded from kingdom of God,Those who maintain proper moral conduct,Those who corrupt families,Inheritance of the kingdom of God,Ignatius,"Do not err, my brethren; they who corrupt families shall not inherit the kingdom of God. If then those who do this according to the flesh suffer death, how much more if a man corrupt by false teaching the faith of God for the sake of which Jesus Christ was crucified?",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg1443/tlg001/tlg1443.tlg001.perseus-eng1.txt,"HYBRID_EXTRACTED (20 passages, 8 pages from original 27 pages)","corrupt, corruption, family, inherit, inheritance, man",0.163275,7895,598,Morally upright,Morally condemned,Inheritance
Epistles,Ignatius of Antioch,70,Roman Empire;(Roman Empire),MORAL_CONDUCT,Schismatics excluded from kingdom of God,Those who maintain unity with the Church,Those who follow makers of schism,Inheritance of the kingdom of God,Ignatius,"For as many as belong to God and Jesus Christ,—these are with the bishop. And as many as repent and come to the unity of the Church,—these also shall be of God, to be living according to Jesus Christ. Be not deceived, my brethren, if any one follow a maker of schism, he does not inherit the kingdom of God; if any man walk in strange doctrine he has no part in the Passion.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg1443/tlg001/tlg1443.tlg001.perseus-eng1.txt,"HYBRID_EXTRACTED (20 passages, 8 pages from original 27 pages)","inherit, inheritance, man, stranger, strangers",0.163275,7895,598,Morally upright,Morally condemned,Inheritance
Epistles,Ignatius of Antioch,70,Roman Empire;(Roman Empire),GENDER,Marriage consent authority reserved for men through bishop,Men (through the bishop),Women,Authority over marriage decisions,Ignatius,"Speak to my sisters that they love the Lord, and be content with their husbands in flesh and in spirit. In the same way enjoin on my brothers in the name of Jesus Christ to love their wives as the Lord loved the Church. If any man can remain in continence to the honour of the flesh of the Lord let him do so without boasting. If he boast he is lost, and if it be made known except to the bishop, he is polluted. But it is right for men and women who marry to be united with the consent of the bishop, that the marriage be according to the Lord and not according to lust.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg1443/tlg001/tlg1443.tlg001.perseus-eng1.txt,"HYBRID_EXTRACTED (20 passages, 8 pages from original 27 pages)","heir, husband, maiden, man, men, right, rights, shame, wives, woman, women",0.163275,7895,598,Men,Women,Political participation
On The Estate of Ciron,Isaeus,-384,Peloponnesian League,GENDER,Women excluded from inheriting property directly when male relatives exist,Male descendants and relatives,Women,Direct inheritance of property,author,"Supposing that my mother, Ciron's daughter, were still alive and that her father had died intestate and that my opponent were his brother and not his nephew, he would have the right to claim the daughter in marriage, but he could not claim the estate, which would go to the children born of their marriage when they had completed two years after puberty; for this is what the laws ordain.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0017/tlg008/tlg0017.tlg008.perseus-eng2.txt,"HYBRID_EXTRACTED (9 passages, 8 pages from original 11 pages)","alien, born, children, daughter, denied, estate, father, heir, law, laws, mother, right, rights",0.149715,7386,519,Men,Women,Inheritance
On The Estate of Ciron,Isaeus,-384,Peloponnesian League,CITIZENSHIP,Children of non-citizen mothers born after 403 BC denied citizenship,Children of citizen mothers,Children of non-citizen mothers,Citizenship rights,author,"For if you are misled into the belief that our mother was not an Athenian citizen, neither are we citizens; for we were born after the archonship of Eucleides. The children of mothers who were not citizens, born after 403 B.C., did not enjoy civic rights.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0017/tlg008/tlg0017.tlg008.perseus-eng2.txt,"HYBRID_EXTRACTED (9 passages, 8 pages from original 11 pages)","athenian, athenians, born, children, citizen, citizens, citizenship, mother, right, rights",0.149715,7386,519,Citizens,Non-citizens/Foreigners,Citizenship
On The Estate of Ciron,Isaeus,-384,Peloponnesian League,FREEDOM_STATUS,Slaves can only give legal testimony under torture,Free persons,Slaves,Right to give testimony freely in legal proceedings,author,"You Athenians hold the opinion that both in public and in private matters examination under torture is the most searching test; and so, when you have slaves and free men before you and it is necessary that some contested point should be cleared up, you do not employ the evidence of free men but seek to establish the truth about the facts by putting the slaves to torture.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0017/tlg008/tlg0017.tlg008.perseus-eng2.txt,"HYBRID_EXTRACTED (9 passages, 8 pages from original 11 pages)","athenian, athenians, free, freed, masters, men, old, slave, slaves",0.149715,7386,519,Free persons,Slaves,Legal standing
On the Estate of Menecles,Isaeus,-384,Peloponnesian League,GENDER,Only men can adopt sons and dispose of property,Men,Women,Right to adopt children and dispose of property through wills,author,"The law thus allowing Menecles, because he was childless, to adopt a son, he adopted me, not by a will made at the point of death, as other citizens have done, nor during illness; but when he was sound in body and mind, and fully aware of what he was doing, he adopted me and introduced me to his fellow-wardsmen in the presence of my opponents and enrolled me among the demesmen and the members of his confraternity.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0017/tlg002/tlg0017.tlg002.perseus-eng2.txt,"FULL_TEXT (21,706 chars ≈ 9 pages)","allow, allowed, boy, citizen, citizens, citizenship, law, laws, maiden, mother, son",0.14961,7994,396,Men,Women,Inheritance
On the Estate of Menecles,Isaeus,-384,Peloponnesian League,CITIZENSHIP,Only citizens can adopt sons and be adopted,Citizens,Non-citizens,Right to adopt children and inherit property,author,"The law thus allowing Menecles, because he was childless, to adopt a son, he adopted me, not by a will made at the point of death, as other citizens have done, nor during illness; but when he was sound in body and mind, and fully aware of what he was doing, he adopted me and introduced me to his fellow-wardsmen in the presence of my opponents and enrolled me among the demesmen and the members of his confraternity.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0017/tlg002/tlg0017.tlg002.perseus-eng2.txt,"FULL_TEXT (21,706 chars ≈ 9 pages)","allow, allowed, boy, citizen, citizens, citizenship, law, laws, maiden, mother, son",0.14961,7994,396,Citizens,Non-citizens/Foreigners,Inheritance
Works and Days,Hesiod,-740,Greek City-States,GENDER,Women excluded from works of Aphrodite and public life,Men,Women (maidens),Freedom of movement and participation in public life,narrator,"And it does not blow through the tender maiden who stays indoors with her dear mother, unlearned as yet in the works of golden Aphrodite, and who washes her soft body and anoints herself with oil and lies down in an inner room within the house, on a winter's day when the Boneless One gnaws his foot in his fireless house and wretched home.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0020/tlg002/tlg0020.tlg002.perseus-eng2.txt,"HYBRID_EXTRACTED (20 passages, 8 pages from original 21 pages)","aliens, boy, gender, maiden, mother, work",0.16845,7830,680,Men,Women,Freedom
Works and Days,Hesiod,-740,Greek City-States,PROPERTY_WEALTH,Property owners have access to legal disputes over goods,Those with property and stored grain,Those without year's provisions,Legal standing to raise disputes and access to courts,narrator,"Little concern has he with quarrels and courts who has not a year's victuals laid up betimes, even that which the earth bears, Demeter's grain. When you have got plenty of that, you can raise disputes and strive to get another's goods. But you shall have no second chance to deal so again: nay, let us settle our dispute here with true judgement which is of Zeus and is perfect.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0020/tlg002/tlg0020.tlg002.perseus-eng2.txt,"HYBRID_EXTRACTED (20 passages, 8 pages from original 21 pages)","court, deserter, judgment",0.16845,7830,680,Property owners,Poor/Non-property owners,Legal standing
Works and Days,Hesiod,-740,Greek City-States,BIRTH_LINEAGE,Single legitimate son inherits father's estate,Single legitimate sons,Multiple sons or illegitimate children,Inheritance of family property and wealth,narrator,"There should be an only son to feed his father's house, for so wealth will increase in the home; but if you leave a second son you should die old. Yet Zeus can easily give great wealth to a greater number.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0020/tlg002/tlg0020.tlg002.perseus-eng2.txt,"HYBRID_EXTRACTED (20 passages, 8 pages from original 21 pages)","father, freed, old, slave, son, wealth, wealthy",0.16845,7830,680,Legitimate offspring,Illegitimate offspring,Inheritance
Works and Days,Hesiod,-740,Greek City-States,AGE,Mature men (40+) trusted with important agricultural work,Men of forty years,Younger men,Employment in skilled agricultural positions,narrator,"Let a brisk fellow of forty years follow them, with a loaf of four quarters and eight slices for his dinner, one who will attend to his work and drive a straight furrow and is past the age for gaping after his fellows, but will keep his mind on his work.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0020/tlg002/tlg0020.tlg002.perseus-eng2.txt,"HYBRID_EXTRACTED (20 passages, 8 pages from original 21 pages)","age, aged, deprive, right, work",0.16845,7830,680,Men,Young/Minors,Economic activity
On The Estate of Cleonymus,Isaeus,-384,Peloponnesian League,BIRTH_LINEAGE,Inheritance rights restricted to legitimate relatives,Legitimate relatives/next of kin,Non-relatives/those without kinship ties,Inheritance of property,narrator,"We were Cleonymus's nearest relatives, and lived on terms of greater intimacy with him than anyone else; and the laws have given us the right of succession as next of kin, as also did Cleonymus himself, owing to the affection which subsisted between us. And, further, Polyarchus, Cleonymus's father and our grandfather, gave instructions that, if Cleonymus should die without issue, he was to leave his property to us.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0017/tlg001/tlg0017.tlg001.perseus-eng2.txt,"FULL_TEXT (22,497 chars ≈ 9 pages)","father, law, laws, poverty, property, right, rights, slave",0.157425,8190,461,Legitimate offspring,Non-relatives,Inheritance
On The Estate of Cleonymus,Isaeus,-384,Peloponnesian League,BIRTH_LINEAGE,Legal obligations to support family members based on kinship,Close relatives by blood,Non-relatives,Right to inherit and obligation to support family,narrator,"If Polyarchus, the father of Cleonymus and our grandfather, were alive and lacked the necessities of life, or if Cleonymus had died leaving daughters unprovided for, we should have been obliged on grounds of affinity to support our grandfather, and either ourselves marry Cleonymus's daughters or else provide dowries and find other husbands for them—the claims of kinship, the laws, and public opinion in Athens would have forced us to do this or else become liable to heavy punishment and extreme disgrace—but now that property has been left, will you regard it as just that others, rather than we, should inherit it?",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0017/tlg001/tlg0017.tlg001.perseus-eng2.txt,"FULL_TEXT (22,497 chars ≈ 9 pages)","alien, athenians, daughter, denied, disgrace, dowry, father, husband, inherit, inheritance, law, laws, mother, poverty, property",0.157425,8190,461,Legitimate offspring,Non-relatives,Inheritance
Against Callimachus,Isocrates,-400,Peloponnesian League,CITIZENSHIP,Loss of civic rights for unpaid court fines,Citizens who pay court fines,Citizens who fail to pay court fines,"Civic rights (voting, holding office, legal standing)",author,"If Callimachus lost the suit, he would be liable to a fine (ἡ ἐπωβελία) of one-sixth of the sum at which the damages were laid. and also if then because he possessed property he was forced to go into exile, yet now, at a time when he ought to get satisfaction for wrongs done him, he is to be deprived of his civic rights. If the fine should not be paid within the appointed period of time, Callimachus would lose his rights as a citizen.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0010/tlg002/tlg0010.tlg002.perseus-eng2.txt,"HYBRID_EXTRACTED (12 passages, 8 pages from original 16 pages)","citizen, citizens, deprive, deprived, exile, exiled, possess, possession, poverty, property, right, rights",0.14865,7540,474,Citizens,Morally condemned,Political participation
Against Callimachus,Isocrates,-400,Peloponnesian League,MORAL_CONDUCT,Expulsion from citizenship rolls by the Thirty,Citizens in good standing with the oligarchy,Citizens expelled by the Thirty,Citizenship status and associated rights,author,"For if I were so audacious a man as to wrong others, you would with good reason condemn me as doing wrong to him also; but as it is, I shall be found innocent of having harmed any citizen in regard to his property, or of jeopardizing his life, or of having expunged his name from the list of active citizens, or of having inscribed his name on Lysander's list. A list of citizens who were deprived of their civic rights; cf. Isoc. 21.2 and Xen. Hell. 2.3.17-19.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0010/tlg002/tlg0010.tlg002.perseus-eng2.txt,"HYBRID_EXTRACTED (12 passages, 8 pages from original 16 pages)","citizen, citizens, citizenship, deprive, deprived, heir, man, mother, native, poverty, property, right, rights, scribe",0.14865,7540,474,Citizens,Morally condemned,Citizenship
Panathenaicus,Isocrates,-400,Peloponnesian League,MORAL_CONDUCT,Prostitution bars citizens from holding high political office,Citizens who have not prostituted themselves,Citizens who have prostituted their persons,Hold political office (archonship),author,"and not even to suffer men to be heard who lend their own persons to base practices but deem themselves worthy to advise others how they should govern the state in order to advance in sobriety and well-being, or who have squandered what they inherited from their fathers on shameful pleasures but seek to repair their own fortunes from the public treasury",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0010/tlg021/tlg0010.tlg021.perseus-eng2.txt,"HYBRID_EXTRACTED (29 passages, 8 pages from original 72 pages)","estate, father, fortune, govern, heir, inherit, inheritance, men, mother, older, shame, squander, statute",0.149025,7690,449,Morally upright,Morally condemned,Political participation
Panathenaicus,Isocrates,-400,Peloponnesian League,FREEDOM_STATUS,Perioeci reduced to subordinate status without political rights,Spartan citizens,Perioeci (subjugated population),Political rights and land ownership,author,"they themselves did nothing of the sort, but instead set up amongst their own class the only kind of equality and democracy which is possible if men are to be at all times in complete accord, while reducing the mass of the people to the condition of Perioeci, subjecting their spirits to a bondage no less abject than that endured by slaves. And having done this, they disposed of the land, of which by right every man should have had an equal share, seizing for themselves—the few—not only the richest but more than any of the Hellenes possess, while to the mass of the people they apportioned only enough of the poorest land so that by working laboriously they could hardly gain their daily bread.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0010/tlg021/tlg0010.tlg021.perseus-eng2.txt,"HYBRID_EXTRACTED (29 passages, 8 pages from original 72 pages)","bondage, heir, land, man, men, possess, possession, qualify, right, rights, shame, slave, slaves, work",0.149025,7690,449,Citizens,Non-citizens/Foreigners,Political participation
The Parasite Tychiades,Lucian of Samosata,155,Kingdom of Osroene,FREEDOM_STATUS,Free persons have access to trades and professions while slaves have limited options,Free persons,Slaves,Access to trades and professions,Tychiades,"Tychiades I am curious about you, Simon. Ordinary people, free and slaves alike, have some trade or profession that enables them to benefit themselves and others; you seem to be an exception.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0062/tlg030/tlg0062.tlg030.perseus-eng4.txt,"HYBRID_EXTRACTED (18 passages, 8 pages from original 17 pages)","alien, free, freed, mother, possession, profession, slave, slaves, trade, trader",0.148785,8169,350,Free persons,Slaves,Economic activity
The Parasite Tychiades,Lucian of Samosata,155,Kingdom of Osroene,BIRTH_LINEAGE,Those of noble birth have access to political power while those of mean extraction do not,Those of noble birth,Those of mean extraction,Political power and influence,Simon,"Again, did not Aristogiton, poor and of mean extraction, as Thucydides describes him, sponge on Harmodius? He was also, of course, in love with him—a quite natural relation between the two classes. This sponger it was, then, who delivered Athens from tyranny, and now adorns the marketplace in bronze, side by side with the object of his passion.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0062/tlg030/tlg0062.tlg030.perseus-eng4.txt,"HYBRID_EXTRACTED (18 passages, 8 pages from original 17 pages)","athenians, man, men, naturalized, poor, scribe",0.148785,8169,350,Nobles,Illegitimate offspring,Political participation
Dialogues of the Gods,Lucian of Samosata,155,Kingdom of Osroene,GENDER,Women excluded from decision-making in public affairs,Men,Women,Decision-making power in public affairs,author,It is for the man to take care of business outside the house; let no woman make decrees in those matters,/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0062/tlg068/tlg0062.tlg068.perseus-eng4.txt,"HYBRID_EXTRACTED (21 passages, 9 pages from original 18 pages)","decree, man, masters, woman, women",0.162045,9053,350,Men,Women,Political participation
Dialogues of the Gods,Lucian of Samosata,155,Kingdom of Osroene,FREEDOM_STATUS,Slaves excluded from personal freedom and legal autonomy,Free persons,Natural slaves,Personal freedom and legal autonomy,author,It is manifest therefore that there are cases of people of whom some are freemen and the others slaves by nature...,/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0062/tlg068/tlg0062.tlg068.perseus-eng4.txt,"HYBRID_EXTRACTED (21 passages, 9 pages from original 18 pages)","freedman, freedmen, mature, mother, naturalized, slave, slaves",0.162045,9053,350,Free persons,Slaves,Freedom
Dialogues of the Gods,Lucian of Samosata,155,Kingdom of Osroene,GENDER,Women subject to male political authority,Men,Women,Political authority and governance,author,"Again, as between the sexes, the male is by nature superior and the female inferior, the male ruler and the female subject.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0062/tlg068/tlg0062.tlg068.perseus-eng4.txt,"HYBRID_EXTRACTED (21 passages, 9 pages from original 18 pages)","female, male, mature, naturalized, rule, sex",0.162045,9053,350,Men,Women,Political participation
Description of Greece,Pausanias,150,Roman Empire;(Roman Empire),GENDER,Women forbidden from entering grove of Ares,Men,Women,Access to religious space and participation in festival,author,"Every year they hold a festival in honor of the God, at which women are forbidden to enter the grove.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0525/tlg001/tlg0525.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (33 passages, 9 pages from original 617 pages)","forbid, forbidden, old, woman, women",0.165375,8620,481,Men,Women,EXCLUDE_RELIGIOUS
Description of Greece,Pausanias,150,Roman Empire;(Roman Empire),CITIZENSHIP,Roman citizens' children denied inheritance rights,Roman citizens,Children of Roman citizens considered of Greek nationality,Inheritance rights,author,"There was a certain law whereby provincials who were themselves of Roman citizenship, while their children were considered of Greek nationality, were forced either to leave their property to strangers or let it increase the wealth of the emperor. Antoninus permitted all such to give to the children their heritage, choosing rather to show himself benevolent than to retain a law that swelled his riches.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0525/tlg001/tlg0525.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (33 passages, 9 pages from original 617 pages)","children, citizens, citizenship, father, heir, law, laws, permit, permitted, poverty, property, rich, slave, stranger, strangers, wealth, wealthy, woman",0.165375,8620,481,Citizens,Non-citizens/Foreigners,Inheritance
Description of Greece,Pausanias,150,Roman Empire;(Roman Empire),BIRTH_LINEAGE,Succession rights based on legitimacy and physical ability,Legitimate sons without physical disabilities,Those with physical disabilities,Right to rule/kingship,author,"A few years afterwards Medon and Neileus, the oldest of the sons of Codrus, quarrelled about the rule, and Neileus refused to allow Medon to rule over him, because he was lame in one foot. The disputants agreed to refer the matter to the Delphic oracle, and the Pythian priestess gave the kingdom of Athens to Medon.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0525/tlg001/tlg0525.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (33 passages, 9 pages from original 617 pages)","aged, allow, allowed, athenians, govern, master, priest, priestess, rule, son",0.165375,8620,481,Legitimate offspring,Disabled,Political participation
Nemean Odes,Pindar,-481,Greek City-States,GENDER,Men have superior political authority over women,Men,Women,Political authority and governance,author,"Again, as between the sexes, the male is by nature superior and the female inferior, the male ruler and the female subject.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0033/tlg003/tlg0033.tlg003.perseus-eng2.txt,"HYBRID_EXTRACTED (26 passages, 8 pages from original 21 pages)","female, male, mature, naturalized, rule, sex",0.13899,8071,239,Men,Women,Political participation
Nemean Odes,Pindar,-481,Greek City-States,FREEDOM_STATUS,Natural distinction between free persons and slaves,Free persons,Natural slaves,Personal freedom and legal autonomy,author,It is manifest therefore that there are cases of people of whom some are freemen and the others slaves by nature...,/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0033/tlg003/tlg0033.tlg003.perseus-eng2.txt,"HYBRID_EXTRACTED (26 passages, 8 pages from original 21 pages)","freedman, freedmen, mature, mother, naturalized, slave, slaves",0.13899,8071,239,Free persons,Slaves,Freedom
Plataicus,Isocrates,-400,Peloponnesian League,CITIZENSHIP,Citizenship rights through intermarriage,Those with Athenian citizenship rights,Those without Athenian citizenship,Right of intermarriage and citizenship,Plataean speaker,"All these things we ask you to bear in mind and to take some measure of consideration for us. For indeed we are not aliens to you; on the contrary, all of us are akin to you in our loyalty and most of us in blood also; for by the right of intermarriage granted to us we are born of mothers who were of your city. You cannot, therefore, be indifferent to the pleas we have come to make.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0010/tlg012/tlg0010.tlg012.perseus-eng2.txt,"HYBRID_EXTRACTED (14 passages, 8 pages from original 14 pages)","alien, aliens, bar, blood, born, mother, right, rights",0.170685,7569,762,Citizens,Non-citizens/Foreigners,Citizenship
Plataicus,Isocrates,-400,Peloponnesian League,FREEDOM_STATUS,Freedom from debt slavery,Free persons,Those enslaved for debt,Personal freedom,Plataean speaker,"What, think you, is our state of mind when we see our own parents unworthily cared for in their old age, and our children, instead of being educated as we had hoped when we begat them, often because of petty debts reduced to slavery, others working for hire, and the rest procuring their daily livelihood as best each one can, in a manner that accords with neither the deeds of their ancestors, nor their own youth, nor our own self-respect?",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0010/tlg012/tlg0010.tlg012.perseus-eng2.txt,"HYBRID_EXTRACTED (14 passages, 8 pages from original 14 pages)","age, aged, ancestor, ancestors, children, estate, heir, mother, old, priest, slave, slavery, statute, work, youth, youths",0.170685,7569,762,Free persons,Slaves,Freedom
