group	rule_polity	c_sex	c_age	c_ownership_status	c_ancestry	c_residence	c_wealth	c_kinship_role	c_occupation	requires_rights_definition	emic_label	criterion_reasoning
Citizens fit for military service	Classical Sparta	male	adult	free	native	resident	any	unspecified	soldier	False	homoios	Adult free local males physically capable of combat; criteria are sex, age, ancestry, and physical capacity.
Artisans and soldiers	Ancient Egypt	male	adult	free	native	resident	middle	unspecified	artisan or soldier	False		Defined by productive and protective vocational roles in Late Period Egypt; generally free males of modest to middle material standing.
Older men	Ancient Egypt	male	elder	free	unspecified	resident	unspecified	unspecified	any	False		Identified by developmental life-stage (advanced age) and sex; biological facts independent of legal status.
Private citizens	Classical Athens	male	adult	free	native	resident	any	unspecified	none	False	idiōtēs	A person acting in a non-official/private capacity. While contrasted with magistrates, the underlying human is an adult free native male.
Citizens	Salamis (Cyprus)	male	adult	free	native	resident	any	unspecified	any	False	politēs	Adult free male of local ancestry; criteria are genealogical and biological, common to Greek poleis in Cyprus.
Legitimate children	Salamis (Cyprus)	any	any	free	native	unspecified	unspecified	child	none	False	gnēsios	Offspring born of parents in a recognized union; kinship and biological descent are law-presupposing but rights-independent.
Statesmen	Classical Athens	male	adult	free	native	resident	any	unspecified	politician	True	rhētōr	Defined by active participation in political assembly and speech; requires rights of speech (isēgoria) and status to participate.
Wealthy	Classical Athens	any	any	free	unspecified	resident	high	unspecified	any	False	plousioi	Possession of significant material resources/surplus; a fact of economic capacity rather than a specific legal grant.
Citizens	League of Corinth	male	adult	free	native	resident	any	unspecified	any	False	politēs	Free native males of the respective Greek member-states; ancestry and sex are the independent identifiers.
Property owners	League of Corinth	any	adult	free	unspecified	unspecified	middle	unspecified	any	False	kektemenoi	Relational fact of physical control and use of land or capital; presupposes a concept of property but is an economic relation.
Slave owners	League of Corinth	any	adult	free	unspecified	unspecified	middle	unspecified	any	False	despotēs	Relational fact of exercising ownership over another person; constitutive of the master-slave economic relationship.
Litigants	Classical Athens	male	adult	free	native	resident	any	unspecified	any	True	dikazomenos	Specifically those exercising the right to sue or being sued in court; defined by the procedural legal action itself.
Conquered foreigners	Macedonia	any	any	any	foreign	resident	low	unspecified	any	False	barbaroi	Foreign ancestry population brought under control through military conquest; identified by origin and physical location.
Ambassadors	Classical Athens	male	adult	free	native	any	any	unspecified	ambassador	True	presbeutēs	Persons appointed by a specific legal decree to represent the state; role is entirely created by legal/diplomatic commission.
Public officials	Classical Athens	male	adult	free	native	resident	any	unspecified	magistrate	True	archōn	Office-holders whose identity is defined by the holding of a legal title/authority granted by the polity.
Exiles	Classical Athens	any	any	free	native	non_resident	any	unspecified	any	False	phugas	Individuals of native ancestry physically located outside the territory due to compulsion/proscription.
Shipowners	Classical Athens	any	adult	free	unspecified	unspecified	high	unspecified	naukleros	False	naukleros	Material ownership and management of maritime vessels; an economic and vocational role independent of legal status.
Merchants	Classical Athens	any	adult	free	unspecified	resident	middle	unspecified	merchant	False	emporos	Vocation involving the wholesale trade of goods; economic role identifiable by activity regardless of citizenship.
Non-residents	Classical Athens	any	any	any	unspecified	non_resident	any	unspecified	any	False		Physical absence from the territory of the polity; a spatial-geographical fact.
The wealthiest citizens	Classical Athens	male	adult	free	native	resident	high	unspecified	any	False	pentakosiomedimnoi	The subset of native free males with the highest material wealth/yield; economic standing within the native group.
Mining concessionaires	Classical Athens	any	adult	free	any	resident	high	unspecified	mining	True	misthoutai	Holders of state leases for mines; the category is defined by the legal contract/concession from the state.
Adult sons of widowed mothers	Classical Athens	male	adult	free	unspecified	resident	unspecified	child	none	False		Adult male defined by biological relation (son) to a specific female kin (widowed mother); criteria are kinship and life-stage.
Men	Archaic Athens (Solonic)	male	adult	any	any	any	any	unspecified	any	False	anēr	Adult biological males within the population; sex and age are the primary filters.
Sailors	Classical Athens	male	adult	any	any	any	low	none	sailor	False	nautai	Vocationally identified by labor on ships; frequently associated with the thetes (lower wealth) but defined by occupation.
Trierarchs	Classical Athens	male	adult	free	native	resident	high	unspecified	liturgist	True	triērarchos	Legal liturgy performed by highest wealth class; role is defined by legal obligation to maintain a ship.
Public Arbitrators	Classical Athens	male	elder	free	native	resident	any	unspecified	arbitrator	True	diaitētai	An official role assigned to men in their 60th year; defined by legal-administrative function.
Free non-citizens	Classical Athens	any	any	free	foreign	resident	any	unspecified	any	False	metoikos	Free status combined with foreign ancestry and local residence; independent of specific rights.
Slaves and Aliens	Classical Athens	any	any	any	foreign	resident	unspecified	unspecified	any	False		A composite group defined by non-native ancestry and/or property status (slavery).
Male descendants	Classical Athens	male	any	free	native	unspecified	any	child	none	False	ekgonoi	Genealogical fact: male biological offspring in a lineage.
Lineal descendants	Classical Athens	any	any	free	native	unspecified	any	child	none	False		Biological descendants of a specific ancestor regardless of sex.
Children of non-citizen mothers	Classical Athens	any	any	free	mixed	resident	any	child	none	False	nothoi	Offspring where maternal ancestry is non-native; genealogical fact prior to rights status.
Scythian archers	Classical Athens	male	adult	enslaved	foreign	resident	low	none	policeman	False	toxotai	State-owned enslaved persons of Scythian origin serving as public order workers.
Rich citizens	Classical Athens	male	adult	free	native	resident	high	unspecified	any	False	plousioi	Members of the native ancestry cohort with high material-economic yields.
Scythians	Classical Athens	any	any	any	foreign	resident	unspecified	unspecified	any	False	Skythai	Persons of Scythian ethnic/geographical origin regardless of legal status.
Jurymen	Classical Athens	male	adult	free	native	resident	any	unspecified	juror	True	dikastai	Specifically defined by participation in the court system; eligibility is rights-based (adult male citizens).
Priests	Classical Athens	any	adult	free	native	resident	unspecified	unspecified	priest	False	hiereis	Vocational role in religious/cultic service; often hereditary or selected from native families.
Elders	Classical Athens	any	elder	any	unspecified	any	any	unspecified	none	False	gerontes	Defined solely by advanced age/life-stage.
Athenians	Classical Athens	any	any	free	native	resident	any	unspecified	any	False	Athēnaioi	Free native-born residents of Attica; used as an ethnic/political designation independent of specific voting rights.
Disabled paupers	Classical Athens	male	adult	free	native	resident	low	unspecified	none	False	adynatoi	Free native males with low material wealth and physical impairment; criteria are biological/economic.
Slaves	Archaic Athens (Solonic)	any	any	enslaved	any	resident	low	unspecified	any	False	doulos	Persons owned as property; includes those enslaved for debt in the Solonic context (prior to abolition).
Orphans	Classical Athens	any	minor	free	native	resident	any	child	none	False	orphanoi	Minor children whose fathers are deceased; defined by age and kinship status.
Women	Archaic Athens (Solonic)	female	any	free	native	resident	unspecified	unspecified	none	False	gynaikes	Biological females of the native population; categorized by sex and residence independently of their lack of political standing.
Occupation	Archaic Athens (Solonic)	any	adult	any	unspecified	resident	unspecified	unspecified	any	False		Referred to by vocational role; generic placeholder for persons performing specific labor or crafts.
Public officers	Classical Athens	male	adult	free	native	resident	any	unspecified	magistrate	True	archontes	Defined by holding a public office; membership is contingent on the legal selection system (sortition or election).
Priests and priestesses	Classical Athens	any	adult	free	native	resident	any	unspecified	priest	False	hiereis	Persons performing ritual/sacrificial duties; while often state-sanctioned, the vocational/ritual role is a distinct behavioral fact.
Citizens	Oreus	male	adult	free	native	resident	any	unspecified	none	False	politēs	Adult free male of native lineage in Oreus; ancestry and sex define the cell even if laws regarding their rights vary.
Citizens	Delphic Amphictyonic League	male	adult	free	native	resident	any	unspecified	none	False	politēs	Citizens of the constituent poleis of the League; defined by native ancestry in their respective member cities.
Men of Delphi	Delphi	male	adult	free	native	resident	any	unspecified	none	False	Delphoi	Adult free males of Delphic ancestry; a sub-population defined by geography and lineage.
Orphans of fallen soldiers	Classical Athens	any	minor	free	native	resident	low	child	none	False	orphanoi	Children of native men killed in military service; defined by age and kinship (deceased father) rather than legal status.
Suppliants	Classical Athens	any	any	any	any	resident	any	unspecified	none	False	hiketēs	A person seeking physical protection at a sacred site; defined by the act of supplication and physical location.
The Council	Classical Athens	male	adult	free	native	resident	any	unspecified	councillor	True	Boulē	Body of 500 citizens; membership is strictly defined by legal selection and political office-holding.
Slaves and foreigners	Classical Athens	any	any	any	foreign	resident	any	unspecified	any	False		Combined group of non-native ancestry, including both those owned as property and free foreign residents.
Homicide suspects	Classical Athens	any	any	any	any	resident	unspecified	unspecified	none	False		Individuals accused of killing a person; the state of being a suspect is a fact of accusation, not a defined right or office.
Accidental killers	Classical Athens	any	any	any	any	resident	unspecified	unspecified	none	False		Persons who have caused death without intent; defined by the physical act and psychological state.
Wealthy citizens	Classical Sparta	male	adult	free	native	resident	high	unspecified	none	False	homoioi	Spartan Spartiates with high material standing (ability to contribute to syssitia); defined by wealth and ancestry.
Prisoners of war	Classical Sparta	any	any	enslaved	foreign	resident	low	unspecified	none	False	aichmalōtos	Persons captured in war and held under coercion; their status is a relational fact of capture and ownership.
Suppliants	Classical Sparta	any	any	unspecified	any	resident	any	unspecified	none	False	hiketēs	Same as Athens: individuals seeking religious asylum at a temple, regardless of social status.
Sons of citizens	Classical Athens	male	any	free	native	resident	any	child	none	False		Defined by male sex and kinship descent from a native male (citizen); biological/genealogical fact.
The healthy	Classical Athens	any	any	any	any	resident	any	unspecified	any	False		Persons possessing physical health/fitness; a biological/medical status.
Sophists	Classical Athens	male	adult	free	any	resident	middle	unspecified	philosopher	False	sophistēs	Professional teachers of wisdom/rhetoric; categorized by their vocational activity.
Property owners	Classical Athens	any	adult	free	any	resident	high	unspecified	any	False		Individuals possessing significant land or capital; based on material productive capacity.
Orators and lawyers	Classical Athens	male	adult	free	native	resident	any	unspecified	rhetōr	False	rhētores	Free adult male native citizens who specialize in public speaking; 'legal' role is professional/vocal rather than an office.
The sick	Classical Athens	any	any	any	unspecified	resident	any	unspecified	none	False		Persons experiencing physical or mental infirmity; a biological state independent of legal standing.
The powerful	Classical Athens	male	adult	free	native	resident	high	unspecified	any	False	dynastai	Those with significant material resources, social influence, or persuasive capacity (pisteis) in the community.
Musicians	Classical Athens	any	any	any	any	resident	any	unspecified	mousikos	False	mousikoi	Vocational role defined by the performance of music or poetry; spans citizens, metics, and slaves.
Religious practitioners	Classical Athens	any	adult	free	native	resident	any	unspecified	priest	True	hiereis	Religious officials whose status is often tied to specific cultic laws and lineage/office-holding requirements.
Poets and Legislators	Classical Greece	male	adult	free	native	resident	any	unspecified	poet or legislator	True	nomothetai	Legislators (nomothetai) are a specific functional office of the state; poets are a vocational role.
Boys	Classical Athens	male	minor	free	native	resident	any	child	none	False	paides	Biological and developmental stage; free male offspring of native residents.
The elite	Classical Athens	male	adult	free	native	resident	high	unspecified	any	False	kaloi kagathoi	High material wealth and social prestige (e.g. liturgy-payers); observable by lifestyle and economic capacity.
Men	Classical Greece	male	adult	any	any	any	any	unspecified	any	False	andres	Biological/socially-assigned male sex and adult life-stage.
Women	Classical Greece	female	adult	any	any	any	any	unspecified	any	False	gynaikes	Biological/socially-assigned female sex and adult life-stage.
Noble men	Classical Athens	male	adult	free	native	resident	high	unspecified	any	False	eupatridai	Men of high-status lineage and high wealth; ancestry and economic status are observable independent of specific rights.
Doctors	Classical Athens	any	adult	free	any	resident	any	unspecified	doctor	False	iatroi	Vocational role defined by the practice of medicine; can be citizens, metics, or free foreigners.
Rhapsodes	Classical Athens	male	adult	free	any	resident	low	unspecified	rhapsode	False	rhapsōdos	Professional performer of epic poetry; vocational role independent of legal status.
Exiled nobles	Syracuse	male	adult	free	native	non_resident	high	unspecified	any	False	phygiades	High-wealth native-born individuals currently residing outside the polity's territory due to expulsion.
Free men	Syracuse	male	adult	free	any	resident	any	unspecified	any	False	eleutheroi	Adult males not owned as property; includes citizens, metics, and free foreigners.
Minors	Macedonia	any	minor	free	native	resident	any	child	none	False	paides	Developmental life-stage of individuals in Macedonia; non-adult age.
Slaves	Classical Greece	any	any	enslaved	any	resident	low	unspecified	any	False	douloi	Individuals owned as property by others; the relational fact of ownership is the primary identifier.
Metics	Syracuse	any	any	free	foreign	resident	any	unspecified	any	False	metoikoi	Free residents of Syracuse with foreign genealogical ancestry.
Mercenaries	Syracuse	male	adult	free	foreign	resident	middle	unspecified	soldier	False	misthophoroi	Free foreign adult males whose primary productive role is providing military service for pay.
Athenians	Syracuse	any	any	free	native	resident	any	unspecified	any	False	Athenaioi	Athenian ancestry is the rigid-designator fact (descent from Attic citizens) and is independent of the polity hosting the rule; relative-to-polity status is captured separately by rule_polity.
Exiles	Syracuse	any	any	free	native	non_resident	any	unspecified	none	False	phygas	Persons of native ancestry physically removed or living outside the territory of the polity; the physical location and genealogical link are rights-independent.
Foreigners	Acragas	any	any	free	foreign	resident	any	unspecified	any	False	xenos	Free persons living in the territory who do not descend from the local citizen lineage; defined by residence and ancestry.
People of Delphi	Delphi	any	any	any	native	resident	any	unspecified	any	False	Delphoi	Inhabitants of the city of Delphi; a geographical and ancestral designation regardless of their status within the Roman imperial legal framework.
Citizens	Roman Athens	male	adult	free	native	resident	any	unspecified	any	False	politēs	Free adult males of local Attic ancestry; during the Roman period, this identifies the local municipal elite and eligible residents.
Uneducated individuals	Roman Empire	any	any	any	unspecified	any	any	unspecified	any	False	apaideutos	Defined by the lack of formal Greek education (paideia), a cultural-intellectual attribute independent of legal standing.
Tarsians	Tarsus	any	any	any	native	resident	any	unspecified	any	False	Tarseis	The ethnikon of persons originating from or residing in Tarsus; a fact of geographic origin and ancestry.
Elderly fathers	Classical Athens	male	elder	free	native	resident	any	parent	any	False	gerontes	A combination of biological age (elderly), sex (male), and the relational fact of having offspring (fathers).
Priests	Roman Empire	any	adult	free	unspecified	resident	any	unspecified	priest	True	sacerdos	Defined by their ritual/vocational role; however, in Rome, high priesthoods are offices within the state apparatus, making them rights-mediated.
The wealthy	Roman Empire	any	any	free	unspecified	any	high	unspecified	any	False	divites	Individuals with high material-economic resources, whether derived from land, trade, or capital.
The elderly	Roman Empire	any	elder	any	unspecified	any	any	unspecified	any	False	senes	Defined solely by biological life-stage; the advanced age of the individual.
Teachers	Roman Empire	male	adult	free	unspecified	resident	any	unspecified	teacher	False	grammaticus	A vocational role involving the transmission of knowledge and literacy for compensation or within a school context.
Flutegirls	Roman Empire	female	adult	any	unspecified	resident	low	none	flute-player	False	auletrīs	Female musicians/entertainers, often associated with low social standing but defined by their specific occupational performance.
Naturalized foreigners	Classical Athens	male	adult	free	foreign	resident	any	unspecified	any	True	dōpētos	Foreigners who received local citizenship via a legal act; the status is intrinsically rights-defined despite the foreign ancestry.
Outsiders	Classical Athens	any	any	any	foreign	any	any	unspecified	any	False	exōtikos	Persons not belonging to the specific community or kinship group; defined by lack of local ancestry or connection.
Free men	Roman Empire	male	adult	free	unspecified	any	any	unspecified	any	False	liberi	Adult males who are not legally owned as property by another person; the status is the negation of slavery.
Education students	Roman Empire	any	minor	free	unspecified	resident	any	unspecified	student	False	discipulus	Young individuals engaged in formal learning under an instructor; defined by life-stage and activity.
Artisans	Roman Empire	any	adult	any	unspecified	resident	middle	unspecified	artisan	False	artifex	Defined by productive role; skilled manual laborers or craftsmen.
Men of military age	High Empire Athens	male	adult	free	native	resident	any	unspecified	soldier	False	ephēbos	Males within the age range of physical maturity (roughly 18-60) capable of manual/martial activity.
Parasites	Roman Empire	any	adult	free	unspecified	resident	low	none	none	False	parasitus	Individuals who live at the table of the wealthy in exchange for social services/flattery; defined by economic dependency and lack of profession.
Actors and musicians	Roman Empire	any	adult	any	unspecified	resident	any	unspecified	actor	False	scenici	Defined by vocational performance in theatre and music; a socially distinct group regardless of legal infamia.
Pantomime dancers	Roman Empire	any	adult	any	unspecified	resident	low	none	pantomimus	False	pantomimus	Professional performers in the Roman theater; often of low social status or enslaved/freed, identified by their vocational role in public entertainment.
Dancers	Roman Empire	any	any	any	unspecified	resident	low	none	dancer	False	saltator	Individuals engaged in dance for entertainment or ritual; a vocational role generally associated with the infamia category in Roman social hierarchy.
High-born men	Ionia and Pontus	male	adult	free	native	resident	high	unspecified	none	False	eugeneis	Males of distinguished lineage and material wealth; 'high-born' refers to genealogical facts and ancestral prominence within the local Greek city-state context.
Religious initiates	Roman Empire	any	adult	any	unspecified	unspecified	any	unspecified	none	False	mystae	Individuals who have undergone specific ritual transformations in a cult (e.g. Mithraic, Isiac); participation is a social/religious fact independent of civil law.
Non-residents	Roman Empire	any	any	any	any	non_resident	any	unspecified	any	False		Persons physically located outside the territory of the polity; defined strictly by the geographic fact of non-presence.
Artists	Classical Greece	any	adult	free	unspecified	resident	any	unspecified	artist	False	technitai	Individuals specializing in creative or mimetic production (sculptors, painters, etc.); defined by their specific vocational output.
Soldiers	Seleucid Empire	male	adult	free	unspecified	resident	any	unspecified	soldier	False	stratiōtai	Males serving in organized military units; defined by their vocational role in the state's armed forces.
Administrators	Roman Empire	male	adult	free	unspecified	resident	middle	unspecified	administrator	True	procurator	Individuals holding delegated authority within the imperial bureaucracy; the role is defined by legal appointment to an office.
Sophists	Roman Empire	male	adult	free	unspecified	resident	middle	unspecified	philosopher	False	sophistēs	Professional teachers of rhetoric and public speakers; defined by their vocational prowess and educational role.
Foreigners	Archaic Athens (Solonic)	any	any	free	foreign	resident	any	unspecified	any	False	xenoi	Free persons residing in Athens who lack native Attic ancestry; defined by genealogical origin.
Orators	Classical Athens	male	adult	free	native	resident	any	unspecified	speaker	False	rhētōres	Citizens who actively practice public speaking and political leadership; defined by their behavior/activity in the Assembly.
Husbands	Classical Athens	male	adult	free	any	resident	any	spouse	none	False	anēr	Males in a marital relation; defined by the social/kinship fact of being a partner in a household union.
Free persons	Classical Athens	any	any	free	any	resident	any	unspecified	any	False	eleutheroi	Persons not owned by another; the status is the inverse of the ownership relation.
Wealthy	Archaic Athens (Solonic)	any	adult	free	unspecified	resident	high	unspecified	any	False	plousioi	Individuals with high material assets or agricultural yields (e.g. 500-bushel men and knights); defined by economic capacity.
Citizens	Classical Athens (The Four Hundred)	male	adult	free	native	resident	high	unspecified	none	True	politai	Restricted group of native males defined by the oligarchic coup's legal limit (the 400); selection is rights-dependent.
The people	Classical Athens (The Five Thousand)	male	adult	free	native	resident	middle	unspecified	soldier	True	hoi pentakischilioi	The 5,000 citizens in the 411 BCE regime, defined by their ability to provide hoplite equipment; defined by a legal threshold for inclusion.
Corn-controllers	Classical Athens	male	adult	free	native	resident	any	unspecified	magistrate	True	sitophylakes	Magistrates overseeing grain supply; office-holders whose role is defined by legal mandate and appointment.
Wealthy individuals	Classical Athens	any	adult	free	unspecified	resident	high	unspecified	any	False	eupatridai	Individuals of high economic standing; identified by material surplus and productive capacity independent of rights.
Children of slaves	Classical Athens	any	minor	enslaved	any	resident	low	child	none	False	oikogenes	Minors born to enslaved parents; their status as property is inherited genealogically/relationally.
Christians	Early Christian Church	any	any	any	any	any	any	unspecified	none	False	christianos	Individuals identified by their adherence to Christian religious practice and community membership; a social/ideological fact.
The poor	Roman Empire	any	any	free	any	resident	low	unspecified	unspecified	False	humiliores	Persons of low material-economic position and social standing, often those without land or significant movable wealth.
Orphans	Roman Empire	any	minor	free	any	resident	unspecified	child	none	False	pueri orbitati	Minors whose fathers are deceased; identified by biological life-stage and kinship absence (lack of pater familias).
The young	Early Christian Church	any	minor	unspecified	any	any	unspecified	child	none	False	neōteroi	Individuals in the early developmental life-stage (infants/children/youth) within the community.
Women	Early Christian Church	female	any	unspecified	any	any	unspecified	unspecified	unspecified	False	gynaika	Biological/socially-assigned females within the early Christian community across all ages and social statuses.
Minors	Early Christian Church	any	minor	unspecified	any	any	unspecified	child	none	False	nepios	Persons in a pre-adult developmental life-stage, regardless of sex or social status.
Laborers	Early Christian Church	any	adult	any	any	any	low	unspecified	manual laborer	False	ergatēs	Persons whose primary role is manual or productive vocational labor, typically of lower economic status.
Levites	Second Temple Judea	male	adult	free	native	resident	unspecified	unspecified	priest assistant	False	Lewi	Males of the Tribe of Levi by patrilineal descent; ancestry is a genealogical fact independent of cultic rights/duties.
High Priests	Second Temple Judea	male	adult	free	native	resident	high	unspecified	high priest	True	Kohen Gadol	The supreme religious office-holder; eligibility is tied to Aaronic descent, but the role itself is an office defined by the cultic system.
Priests	Second Temple Judea	male	adult	free	native	resident	unspecified	unspecified	priest	False	Kohen	Males of Aaronic descent; the category is genealogical (native ancestry) and linked to vocational service.
Presbyters	Early Christian Church	male	elder	free	any	resident	unspecified	unspecified	community leader	True	presbyteros	Elder leaders within the community; selection is rights-mediated through religious appointment/standing, though often linked to age.
Heretics	Early Christian Community	any	adult	any	any	any	any	unspecified	unspecified	True	hairetikos	Defined by deviation from community doctrine; the category is intrinsically defined by the ideological/legal norms of the group.
