group_meta	rule_polity	period	resource_granular	n_more	n_less	bit	contested
The wealthy	Classical Athens	Classical (500–360 BCE)	Exemption from liturgies	0	8	0	False
The wealthy	Classical Athens	Classical (500–360 BCE)	Exemption from taxes	0	1	0	False
The wealthy	Classical Athens	Classical (500–360 BCE)	Owning and retaining property	1	1	X	True
The wealthy	Classical Athens	Classical (500–360 BCE)	Protection from property seizure	0	3	0	False
The wealthy	Classical Athens	Classical (500–360 BCE)	Protection from slander	0	1	0	False
The wealthy	Classical Athens	Classical (500–360 BCE)	Retaining one's own earnings	0	2	0	False
The wealthy	Classical Athens	Classical (500–360 BCE)	Right to a trial	1	0	1	False
The wealthy	Classical Athens	Classical (500–360 BCE)	Right to marry a citizen	1	0	1	False
The wealthy	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for the archonship	1	0	1	False
The wealthy	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Retaining one's own earnings	1	0	1	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Access to physical training	0	1	0	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Access to public subsidies	1	0	1	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Access to specialized courts	1	0	1	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Deliberative authority	2	0	1	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Eligibility for jury service	0	1	0	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public office	3	1	1	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Eligibility for the archonship	1	0	1	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Exemption from liturgies	1	5	0	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Exemption from manual or agricultural labor	1	0	1	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Inheriting property	1	1	X	True
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Owning and retaining property	1	2	0	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Owning land	0	1	0	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Pay for assembly or jury service	0	1	0	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Protection from capital punishment	1	0	1	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Protection from property seizure	1	1	X	True
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Retaining one's own earnings	0	1	0	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Right to a trial	0	1	0	False
The wealthy	Classical Athens	Late Classical (354–165 BCE)	Voting in the assembly	0	1	0	False
The wealthy	Classical Athens (the Thirty Tyrants)	Late Classical (354–165 BCE)	Protection from execution without trial	0	1	0	False
The wealthy	Classical Greece	Classical (500–360 BCE)	Eligibility for jury service	1	0	1	False
The wealthy	Classical Greece	Classical (500–360 BCE)	Eligibility for public office	1	0	1	False
The wealthy	Classical Greece	Late Classical (354–165 BCE)	Deliberative authority	0	1	0	False
The wealthy	Classical Greece	Late Classical (354–165 BCE)	Eligibility for public honors	1	0	1	False
The wealthy	Classical Greece	Late Classical (354–165 BCE)	Eligibility for public office	4	0	1	False
The wealthy	Classical Greece	Late Classical (354–165 BCE)	Exemption from liturgies	0	1	0	False
The wealthy	Classical Greece	Late Classical (354–165 BCE)	Exemption from manual or agricultural labor	1	0	1	False
The wealthy	Classical Greece	Late Classical (354–165 BCE)	Protection from property seizure	0	1	0	False
The wealthy	Classical Greece (Oligarchical)	Late Classical (354–165 BCE)	Voting in the assembly	0	1	0	False
The wealthy	Classical Sicily (under Charondas' laws)	Late Classical (354–165 BCE)	Eligibility for jury service	0	1	0	False
The wealthy	Classical Syracuse	Late Classical (354–165 BCE)	Protection from property seizure	0	1	0	False
The wealthy	Hellenistic Greek states	Hellenistic & Early Roman (165 BCE – 105 CE)	Exemption from liturgies	0	1	0	False
The wealthy	Late Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from property seizure	0	1	0	False
The wealthy	League of Corinth	Late Classical (354–165 BCE)	Protection from property seizure	1	0	1	False
The wealthy	Roman Empire	High Roman Empire (135–205 CE)	Freedom of choice in marriage	1	0	1	False
The wealthy	Roman Empire (Greek East)	High Roman Empire (135–205 CE)	Access to public amenities	0	1	0	False
The wealthy	Roman Empire (Greek East)	High Roman Empire (135–205 CE)	Exemption from military service	0	1	0	False
The wealthy	Roman Empire (Greek East)	High Roman Empire (135–205 CE)	Exemption from taxes	0	1	0	False
The wealthy	Roman Empire (Greek East)	High Roman Empire (135–205 CE)	Protection from property seizure	0	1	0	False
The wealthy	Roman Empire (Greek East)	High Roman Empire (135–205 CE)	Speaking in the assembly	0	1	0	False
The wealthy	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Owning land	0	1	0	False
The wealthy;Citizens	Classical Athens	Classical (500–360 BCE)	Eligibility for public office	1	0	1	False
The wealthy;Citizens	Classical Athens	Classical (500–360 BCE)	Exemption from liturgies	0	3	0	False
The wealthy;Citizens	Classical Athens	Classical (500–360 BCE)	Exemption from taxes	0	2	0	False
The wealthy;Citizens	Classical Athens	Classical (500–360 BCE)	Retaining one's own earnings	0	1	0	False
The wealthy;Citizens	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Exemption from liturgies	0	2	0	False
The wealthy;Citizens	Classical Athens	Late Classical (354–165 BCE)	Exemption from liturgies	0	4	0	False
The wealthy;Citizens	Classical Athens	Late Classical (354–165 BCE)	Right to citizenship	0	1	0	False
The wealthy;Citizens	Classical Sparta	Classical (500–360 BCE)	Exemption from military service	1	0	1	False
The wealthy;Nobles	Archaic Athens (Pre-Solonic)	Late Classical (354–165 BCE)	Eligibility for the archonship	1	0	1	False
The wealthy;Nobles	Classical Athens	Late Classical (354–165 BCE)	Protection from arbitrary banishment	0	1	0	False
The wealthy;Women	Classical Athens	Late Classical (354–165 BCE)	Freedom from state supervision	1	0	1	False
Women	Ancient Olympia	High Roman Empire (135–205 CE)	Access to sacred spaces	0	1	0	False
Women	Archaic Athens (Solonic)	Late Classical (354–165 BCE)	Participation in sacred rites	0	1	0	False
Women	Archaic Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Access to physical training	1	0	1	False
Women	Archaic Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Deliberative authority	1	0	1	False
Women	Byblos (Syria)	High Roman Empire (135–205 CE)	Freedom from state supervision	0	1	0	False
Women	Chalcidice	Late Classical (354–165 BCE)	Inheriting property	1	0	1	False
Women	Classical Athens	Classical (500–360 BCE)	Eligibility for the council	0	1	0	False
Women	Classical Athens	Classical (500–360 BCE)	Freedom of choice in marriage	1	0	1	False
Women	Classical Athens	Classical (500–360 BCE)	Freedom of movement	0	1	0	False
Women	Classical Athens	Classical (500–360 BCE)	Immunity from prosecution	0	1	0	False
Women	Classical Athens	Classical (500–360 BCE)	Inheriting property	0	1	0	False
Women	Classical Athens	Classical (500–360 BCE)	Owning and retaining property	1	0	1	False
Women	Classical Athens	Classical (500–360 BCE)	Participation in sacred rites	1	0	1	False
Women	Classical Athens	Classical (500–360 BCE)	Protection from private assault	1	0	1	False
Women	Classical Athens	Classical (500–360 BCE)	Right to a dowry	6	0	1	False
Women	Classical Athens	Classical (500–360 BCE)	Right to engage in business	1	1	X	True
Women	Classical Athens	Classical (500–360 BCE)	Speaking in the assembly	1	0	1	False
Women	Classical Athens	High Roman Empire (135–205 CE)	Access to physical training	0	1	0	False
Women	Classical Athens	High Roman Empire (135–205 CE)	Right to a dowry	1	0	1	False
Women	Classical Athens	Late Classical (354–165 BCE)	Deliberative authority	0	3	0	False
Women	Classical Athens	Late Classical (354–165 BCE)	Freedom of choice in marriage	0	1	0	False
Women	Classical Athens	Late Classical (354–165 BCE)	Owning and retaining property	1	0	1	False
Women	Classical Athens	Late Classical (354–165 BCE)	Protection from private assault	1	0	1	False
Women	Classical Athens	Late Classical (354–165 BCE)	Protection from slander	0	1	0	False
Women	Classical Athens	Late Classical (354–165 BCE)	Right to a dowry	2	0	1	False
Women	Classical Athens	Late Classical (354–165 BCE)	Right to a share of an estate	0	1	0	False
Women	Classical Athens	Late Classical (354–165 BCE)	Right to a trial	0	1	0	False
Women	Classical Athens (the Thirty Tyrants)	Late Classical (354–165 BCE)	Disposing of property by will	0	1	0	False
Women	Classical Greece	Classical (500–360 BCE)	Owning and retaining property	1	0	1	False
Women	Classical Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom of choice in marriage	0	1	0	False
Women	Classical Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Local self-governance	1	0	1	False
Women	Classical Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	1	0	1	False
Women	Classical Thebes	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom of movement	0	1	0	False
Women	Early Christian Church	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom from state supervision	0	1	0	False
Women	Early Christian Church	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom of movement	0	1	0	False
Women	Early Christian Church	Hellenistic & Early Roman (165 BCE – 105 CE)	Owning and retaining property	1	0	1	False
Women	Early Roman Kingdom	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom of choice in marriage	0	1	0	False
Women	Hellenistic Greece	Hellenistic & Early Roman (165 BCE – 105 CE)	Owning and retaining property	0	1	0	False
Women	Hellenistic Greece	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	0	1	0	False
Women	Hellenistic Hierapolis	High Roman Empire (135–205 CE)	Participation in sacred rites	0	1	0	False
Women	Mytilene	Late Classical (354–165 BCE)	Freedom of choice in marriage	0	1	0	False
Women	Naucratis	High Roman Empire (135–205 CE)	Access to common meals	0	1	0	False
Women	Republican Rome	High Roman Empire (135–205 CE)	Right to consume wine	0	1	0	False
Women	Roman Empire	High Roman Empire (135–205 CE)	Access to common meals	0	1	0	False
Women	Roman Empire	High Roman Empire (135–205 CE)	Freedom from state supervision	0	1	0	False
Women	Roman Empire	High Roman Empire (135–205 CE)	Right to attend public meals	0	1	0	False
Women	Sparta	Late Classical (354–165 BCE)	Freedom from state supervision	1	0	1	False
Women	Sparta	Late Classical (354–165 BCE)	Inheriting property	1	0	1	False
Women;Citizens	Classical Athens	Classical (500–360 BCE)	Freedom of choice in marriage	1	0	1	False
Women;Heirs	Classical Athens	Classical (500–360 BCE)	Inheriting property	1	0	1	False
Women;Heirs	Classical Athens	Late Classical (354–165 BCE)	Owning and retaining property	1	0	1	False
Women;Minors;Artisans	Roman Empire	High Roman Empire (135–205 CE)	Protection from private assault	0	1	0	False
Women;Nobles	Archaic Macedon	Late Classical (354–165 BCE)	Right to marry a citizen	1	0	1	False
Women;Nobles	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to a dowry	1	0	1	False
Women;Wives	Classical Athens	Classical (500–360 BCE)	Protection from capital punishment	1	0	1	False
Women;Wives	Classical Athens	Late Classical (354–165 BCE)	Right to a dowry	1	0	1	False
Women;Wives	Hellenistic Macedon	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from private assault	0	1	0	False
Women;Wives	Seleucid Empire	High Roman Empire (135–205 CE)	Right to marry	0	1	0	False
