rule_id	resource_meta	resource	resource_granular	granular_is_new	granular_parent_meta	granular_reasoning
tlg0004.tlg001.perseus-eng2::91	Access to public honors	Access to public financial distributions	Access to public subsidies	False	Access to public honors	The text describes the distribution of a large sum of money 'among his fellow-citizens.'
tlg0004.tlg001.perseus-eng2::92	Exemption from military service	Exemption from military cadet service	Exemption from military service	False	Exemption from military service	The verbatim specifies the son had 'ceased to be a cadet on service'
tlg0004.tlg001.perseus-eng2::93	Access to public honors	Right to attend public banquets	Access to common meals	False	Access to public honors	The text describes attending 'public... dinners' and a 'banquet given by Lysimachus'
tlg0004.tlg001.perseus-eng2::94	Protection from enslavement	Right to purchase freedom	Right to citizenship	False	Right to citizenship	The text describes a former slave who 'succeeded in becoming a Theban'
tlg0004.tlg001.perseus-eng2::95	Right to own land	Right to own land	Right to engage in business	False	Right to retain own earnings	The verbatim focuses on 'lent out money', 'loans on bottomry', and 'accumulating a large fortune'
tlg0004.tlg001.perseus-eng2::97	Right to burial	Right to a public funeral	Right to a public funeral	False	Right to burial	The decree is to 'build him a tomb... at the public cost'
tlg0004.tlg001.perseus-eng2::98	Protection from corporal punishment	Protection from corporal punishment	Protection from penal corporal punishment	False	Protection from corporal punishment	The master was 'chastising a slave' by having him 'beaten' as a penalty for stealing
tlg0004.tlg001.perseus-eng2::103	Right to bodily autonomy	Generative capacity of semen	Personal liberty	True	Right to bodily autonomy	The text discusses biological 'tension' and sterility of female semen
tlg0004.tlg001.perseus-eng2::105	Exemption from legal audit	Protection from legal inquiry into income	Exemption from legal audit	False	Exemption from legal audit	The verbatim describes being 'brought into court to answer the inquiry how... he made his living'
tlg0004.tlg001.perseus-eng2::106	Right to retain property	Right to retain property	Protection from property seizure	False	Right to retain property	The text states his inherited property 'had been confiscated to the king’s treasury'
tlg0004.tlg001.perseus-eng2::107	Protection from corporal punishment	Protection from corporal punishment	Protection from penal corporal punishment	False	Protection from corporal punishment	The subject was 'castigated with the lash' following a 'false charge'
tlg0004.tlg001.perseus-eng2::109	Right to own land	Right to own land	Participation in sacred rites	False	Access to religious rites	The text says he 'had himself initiated into all the mysteries and rites'
tlg0004.tlg001.perseus-eng2::110	Right to vote in the Ekklesia	Right to vote in the assembly	Voting in the assembly	False	Right to vote in the Ekklesia	The text describes a person who 'went into the assembly and declared... experience' to the group
tlg0004.tlg001.perseus-eng2::111	Right to vote in the Ekklesia	Right to participate in public assemblies	Speaking in the assembly	False	Right to address the assembly	The text says he 'went into the assembly and declared... and even read out his experiences'
tlg0004.tlg001.perseus-eng2::112	Protection from corporal punishment	Protection from corporal punishment	Protection from penal corporal punishment	False	Protection from corporal punishment	The text states the subject 'would punish neither slave nor free man in anger'
tlg0004.tlg001.perseus-eng2::114	Right to own property	Right to manage property independently	Disposing of property by will	False	Right to dispose of property	The text mentions a father who 'entrusted his daughter... with the custody of his memoirs' and 'injunctions'
tlg0004.tlg001.perseus-eng2::118	Right to a dowry	Right to a dowry	Right to a dowry	False	Right to a dowry	The verbatim explicitly mentions he 'bestowed dowries upon many of the maidens'
tlg0004.tlg001.perseus-eng2::119	Eligibility for public office	Eligibility for the generalship	Eligibility for military command	False	Eligibility for public office	The text discusses being 'generalissimo' and the 'second year of command'
tlg0004.tlg001.perseus-eng2::122	Eligibility for public office	Right to hold hereditary office	Eligibility for the kingship	False	Eligibility for public office	The verbatim says he 'renounced his claim to the kingship'
tlg0004.tlg001.perseus-eng2::123	Right to reside in the city	Right to reside in the city	Protection from arbitrary banishment	False	Protection from arbitrary banishment	The text refers to the Ephesians 'banishing his friend' and 'driven out Hermodorus'
tlg0004.tlg001.perseus-eng2::124	Eligibility for public office	Eligibility for the admiralship	Eligibility for military command	False	Eligibility for public office	The text states he 'was elected admiral' as a result of taking part in politics
tlg0004.tlg001.perseus-eng2::125	Eligibility for public office	Right to serve as a legislator	Eligibility for public office	False	Eligibility for public office	The verbatim specifies he served as a 'legislator' for the city.
tlg0004.tlg001.perseus-eng2::126	Protection from enslavement	Right to be manumitted by peers	Personal liberty	False	Protection from enslavement	The text describes being 'set free' after having been 'sold into slavery'.
tlg0004.tlg001.perseus-eng2::127	Access to specialized instruction	Access to theological and astronomical education	Access to formal education	False	Access to the gymnasium	The verbatim states he 'learned theology and astronomy' from 'Magians and Chaldaeans'.
tlg0004.tlg001.perseus-eng2::128	Right to burial	Right to burial in native city	Right to a public funeral	False	Right to burial	The text explicitly mentions receiving a 'public funeral' and being 'buried in his native city'.
tlg0004.tlg001.perseus-eng2::130	Right to reside in the city	Right to reside in Athens	Right of residence	False	Right to reside in the city	The Athenians 'expelled him', removing his right to reside in the city.
tlg0004.tlg001.perseus-eng2::131	Access to specialized instruction	Access to specialized instruction	Access to formal education	False	Access to the gymnasium	Refers to a 'disciple' paying a 'fee' for instruction/education.
tlg0004.tlg001.perseus-eng2::132	Exemption from taxes	Exemption from taxation	Exemption from taxes	False	Exemption from taxes	The verbatim states 'all philosophers should be exempt from taxation'.
tlg0004.tlg001.perseus-eng2::133	Right to citizenship	Citizenship	Right to citizenship	False	Right to citizenship	The text explicitly says 'Athens honoured him with her citizenship'.
tlg0004.tlg001.perseus-eng2::134	Right to marry	Right to marry daughters	Freedom of choice in marriage	False	Right to bodily autonomy	Refers to the lawfulness of who one is permitted to 'marry' (specifically daughters).
tlg0004.tlg001.perseus-eng2::135	Right to bodily autonomy	Communal access to wives	Freedom of choice in marriage	False	Right to bodily autonomy	Describes having 'wives in common' vs exclusive marriage.
tlg0004.tlg001.perseus-eng2::136	Right to retain own earnings	Right to engage in piracy	Right to engage in business	False	Right to retain own earnings	Describes the practice of 'piracy' as a way of life or delight for a group.
tlg0004.tlg001.perseus-eng2::139	Access to the gymnasium	Access to the gymnasium and physical training	Access to formal education	False	Access to the gymnasium	Refers to slaves being 'members of the School' and joining in 'studies'.
tlg0004.tlg001.perseus-eng2::140	Right to retain own earnings	Right to retain one's own earnings	Personal liberty	False	Protection from enslavement	The owner 'manumits' his slaves, giving them 'liberty'.
tlg0004.tlg001.perseus-eng2::141	Right to inherit property	Right to inherit property directly	Right to a share of an estate	False	Right to inherit property	Provisions for 'maintenance' out of 'revenues accruing to me' for children.
tlg0004.tlg001.perseus-eng2::142	Right to retain property	Right to retain dowry upon divorce	Right to a dowry	False	Right to a dowry	The verbatim explicitly commands to 'pay her dowry' from the property.
tlg0004.tlg001.perseus-eng2::143	Right to own land	Right to own land in Attica	Right to citizenship	False	Right to citizenship	Relates to the charge of not being a 'genuine Athenian citizen'.
tlg0004.tlg001.perseus-eng2::147	Political power	Legal autonomy	Immunity from prosecution	False	Protection from legal prosecution	The verbatim mentions submitting to 'restrictions imposed by the law'.
tlg0004.tlg001.perseus-eng2::149	Right to a legal trial	Right to take legal action	Right to a trial	False	Right to a legal trial	The verbatim states he 'will take a suit into court'.
tlg0007.tlg005.perseus-eng2::0	Eligibility for public office	Right to assume royal power	Eligibility for any public office	True	Eligibility for public office	The senators 'assume the insignia of royalty' and 'transact public business' as temporary kings.
tlg0007.tlg005.perseus-eng2::1	Political power	Right to nominate the monarch	Selection of the monarch	True	Political power	Describes the process for how factions 'nominated' and 'appointed' a king.
tlg0007.tlg005.perseus-eng2::4	Right to marry	Right to marry	Freedom of choice in marriage	False	Right to bodily autonomy	The rule imposes a 'thirty years' vow of 'chastity' preventing marriage during service.
tlg0007.tlg005.perseus-eng2::5	Right to dispose of property	Right to make a will without a guardian	Disposing of property by will	False	Right to dispose of property	Verbatim explicitly mentions the 'right to make a will' and management of affairs 'without a guardian'.
tlg0007.tlg005.perseus-eng2::9	Right to bodily autonomy	Right to remarry without penalty	Freedom of choice in marriage	False	Right to bodily autonomy	Concerns the period of 'widowhood' and the penalty for a woman who 'took another husband' before a certain term.
tlg0007.tlg005.perseus-eng2::10	Political power	Veto power over hostile expeditions	Deliberative authority	False	Political power	The Fetials have power to 'forbade' or 'withhold their consent' for war; their 'verdict' is required.
tlg0007.tlg005.perseus-eng2::11	Exemption from manual labor	Right to work during sacred rites	Exemption from manual or agricultural labor	False	Exemption from manual labor	Proclaims 'putting a stop to all labour' and clearing streets of 'menial and manual labour' during ceremonies.
tlg0007.tlg005.perseus-eng2::12	Right to own land	Right to own land	Owning land	False	Right to own land	Verbatim states territory was 'distributed by Numa among the indigent' for 'agriculture'.
tlg0007.tlg005.perseus-eng2::13	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	The king would 'advance some to positions of honour and trust' based on the condition of their farms.
tlg0007.tlg005.perseus-eng2::14	Protection from enslavement	Protection from enslavement	Personal liberty	False	Protection from enslavement	Restricts the 'law permitting fathers to sell their sons' into slavery upon marriage.
tlg0007.tlg005.perseus-eng2::18	Eligibility for public office	Eligibility for the Senate	Eligibility for the council	False	Eligibility for public office	The verbatim specifies the individual was 'honoured with membership in the Senate'.
tlg0007.tlg005.perseus-eng2::19	Political power	Right to suppress public information	Deliberative authority	False	Political power	The senate decides it was 'not lawful or proper' to publish writings and orders them burned.
tlg0007.tlg013.perseus-eng2::1	Political power	Precedence over other magistrates	Deliberative authority	False	Political power	A dictator commands a consul to 'lay aside the insignia of his office' and meet as a 'private person'.
tlg0007.tlg013.perseus-eng2::2	Access to public honors	Right to a ceremonial lictor escort	Eligibility for public honors	False	Access to public honors	Describes being 'attended by a united band of twenty-four lictors' as a mark of high office.
tlg0007.tlg013.perseus-eng2::3	Protection from corporal punishment	Protection from summary punishment by the dictator	Immunity from prosecution	False	Protection from legal prosecution	The tribune 'enjoyed immunity of person' which is not 'robbed of its power by the election of a dictator'.
tlg0007.tlg013.perseus-eng2::4	Political power	Power to imprison and execute without trial	Protection from execution without trial	False	Protection from capital punishment	The dictator has 'power to imprison and put to death without trial', implying the lack of this right for others.
tlg0007.tlg013.perseus-eng2::5	Protection from enslavement	Right to release upon payment	Personal liberty	False	Protection from enslavement	Describes the terms for the 'exchange the captives' and the price to 'pay' to recover men from captivity.
tlg0007.tlg013.perseus-eng2::6	Eligibility for public office	Right to supreme command	Eligibility for military command	False	Eligibility for public office	Refers to a magistrate's 'right to command a day in turn' and displaying the 'signal for battle'.
tlg0007.tlg013.perseus-eng2::7	Right to bear arms	Right to serve in the cavalry	Eligibility for military command	False	Eligibility for public office	Identifies a man of the 'patrician order' as a 'brave commander'.
tlg0007.tlg013.perseus-eng2::9	Protection from capital punishment	Right to life	Protection from capital punishment	False	Protection from capital punishment	Describes the execution of a vestal virgin ('buried alive') for corruption/unchastity.
tlg0007.tlg013.perseus-eng2::10	Protection from enslavement	Protection from enslavement	Personal liberty	False	Protection from enslavement	Verbatim states 'thirty thousand of them were sold into slavery' following the city's plunder.
tlg0007.tlg013.perseus-eng2::11	Political power	Power to command superiors	Deliberative authority	False	Political power	A consul uses a 'lictor with orders' to command his father (a subordinate in rank/office) to dismount.
tlg0007.tlg013.perseus-eng2::12	Eligibility for public office	Right to exercise official authority over parents	Eligibility for public office	False	Eligibility for public office	The verbatim refers to the son as an 'officer' and his role as a 'high office' bestowed by the people.
tlg0007.tlg013.perseus-eng2::14	Right to freedom of movement	Freedom of movement for military command	Freedom of movement	False	Right to freedom of movement	The text describes how religious custom 'kept him at home,' restricting his ability to travel for command.
tlg0007.tlg014.perseus-eng2::0	Protection from arbitrary banishment	Protection from arbitrary banishment	Protection from arbitrary banishment	False	Protection from arbitrary banishment	The verbatim explicitly mentions 'ostracism and banishment' as the resource from which the subjects were not protected.
tlg0007.tlg014.perseus-eng2::1	Access to religious rites	Right to attend public festivals	Participation in sacred rites	False	Access to religious rites	The verbatim describes the city being enriched with 'holidays and public festivals' for the benefit of the citizens.
tlg0007.tlg014.perseus-eng2::2	Protection from enslavement	Right to be ransomed from captivity	Personal liberty	False	Protection from enslavement	The verbatim describes 'captured soldiers' being 'ransomed' from their status as captives.
tlg0007.tlg017.perseus-eng2::0	Right to retain property	Protection from creditor harassment	Protection from property seizure	False	Right to retain property	The 'disputes concerning debts' and treatment of 'poor' debtors implies the risk of seizure or harassment by creditors.
tlg0007.tlg017.perseus-eng2::1	Right to vote in the Ekklesia	Right to elect officials	Election of magistrates	False	Right to vote in the Ekklesia	The text mentions being 'defeated at elections' as a power the people have to 'give and take away.'
tlg0007.tlg017.perseus-eng2::2	Eligibility for public office	Right to adjudicate in courts	Eligibility for jury service	False	Eligibility for public office	The 'power to give and take away' includes the result of being 'condemned in courts of justice' by the people acting as jurors.
tlg0007.tlg018.perseus-eng2::0	Right to military protection	Right to military protection from the mother-city	Eligibility for military command	False	Eligibility for public office	The verbatim describes names written down for those 'eager for the honour' of being a 'commander' for election.
tlg0007.tlg018.perseus-eng2::1	Right to own land	Right to own land	Owning land	False	Right to own land	The verbatim explicitly mentions 'allotting the land among them' to independent citizens.
tlg0007.tlg018.perseus-eng2::2	Right to free speech	Right of free speech	Speaking in the assembly	False	Right to address the assembly	The text mentions the 'right of free speech' and the ability to bring 'denunciations in open assembly.'
tlg0007.tlg018.perseus-eng2::3	Political power	Right to choose non-Corinthian generals	Eligibility for military command	False	Eligibility for public office	The people voted to 'employ a Corinthian as their general.'
tlg0007.tlg024.perseus-eng2::0	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	The verbatim identifies the resource as the 'office of Archon Eponymous.'
tlg0007.tlg024.perseus-eng2::1	Protection from arbitrary banishment	Protection from ostracism	Protection from arbitrary banishment	False	Protection from arbitrary banishment	The text describes eligibility for 'banishment in ostracism.'
tlg0007.tlg024.perseus-eng2::2	Right to vote in the Ekklesia	Right to vote in ostracism	Voting in the assembly	False	Right to vote in the Ekklesia	Describes the procedure where 'each voter took an ostrakon' to remove a citizen.
tlg0007.tlg024.perseus-eng2::3	Right to retain property	Right to retain property income	Retaining one's own earnings	False	Right to retain own earnings	The verbatim explicitly specifies the 'right to enjoy the income from his property' while banished.
tlg0007.tlg024.perseus-eng2::5	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	The text states 'the archons be chosen from all the Athenians.'
tlg0007.tlg024.perseus-eng2::6	Right to a dowry	Right to public dowry	Right to a dowry	False	Right to a dowry	The verbatim says the city was 'bestowing the dowry for the marriage.'
tlg0007.tlg028.perseus-eng2::0	Access to the gymnasium	Access to military education	Access to formal education	False	Access to the gymnasium	The text describes being 'trained in the arts of war' and 'taught' how to command.
tlg0007.tlg028.perseus-eng2::1	Eligibility for public office	Eligibility for the consulship	Eligibility for public office	False	Eligibility for public office	The verbatim refers to the 'highest office' and the election of a 'consul.'
tlg0007.tlg028.perseus-eng2::2	Exemption from taxes	Exemption from metic tax	Exemption from taxes	False	Exemption from taxes	The verbatim mentions tax-collectors haling someone away for not having paid the 'alien’s tax'.
tlg0007.tlg028.perseus-eng2::4	Eligibility for public office	Right to retain senatorial rank	Eligibility for the council	False	Eligibility for public office	Refers to the senate (council) and the expulsion of members from it.
tlg0007.tlg028.perseus-eng2::6	Right to citizenship	Right to Roman citizenship	Right to citizenship	False	Right to citizenship	Explicitly mentions receiving into citizenship and enrolment based on being born of free parents.
tlg0007.tlg034.perseus-eng2::0	Eligibility for public office	Eligibility for kingship	Eligibility for the kingship	False	Eligibility for public office	The text discusses natural justice in who should rule and the Spartan practice of deposing kings.
tlg0007.tlg034.perseus-eng2::1	Right to bodily autonomy	Freedom from lifestyle restrictions	Freedom from state supervision	False	Right to bodily autonomy	Refers to marriage and sumptuary laws which regulate private lifestyle and expenses.
tlg0007.tlg034.perseus-eng2::2	Right to retain property	Right to retain property	Protection from property seizure	False	Right to retain property	Describes the act of 'confiscating and selling at public auction the wealthiest and greatest estates.'
tlg0007.tlg034.perseus-eng2::3	Protection from capital punishment	Right to life during magistracy bids	Protection from execution without trial	False	Protection from capital punishment	Describes a candidate for consul being 'slain before his eyes' and sons of consuls 'butchered' without process.
tlg0007.tlg037.perseus-eng2::0	Right to dispose of property	Right to distribute private wealth as public charity	Disposing of property by will	False	Right to dispose of property	Refers to the democratic and charitable use of private wealth/sustenance (tables of Cimon).
tlg0007.tlg037.perseus-eng2::1	Political power	Power to exile political leaders	Deliberative authority	False	Political power	Discusses the use of ostracism by the 'multitude' to remove political leaders and their 'voice'.
tlg0007.tlg037.perseus-eng2::2	Eligibility for public office	Eligibility for the supreme military command	Eligibility for military command	False	Eligibility for public office	Mentions the country conferring 'imperial power' and 'command over her allies'.
tlg0007.tlg046.perseus-eng2::0	Eligibility for public office	Eligibility for the kingship	Eligibility for the kingship	False	Eligibility for public office	Discusses whether a claimant to the family of Eurypontidae was of legitimate birth to be king.
tlg0007.tlg046.perseus-eng2::1	Eligibility for public office	Eligibility for the kingship	Eligibility for the kingship	False	Eligibility for public office	Specifies that a king should be 'of legitimate birth and sound of limb'.
tlg0007.tlg046.perseus-eng2::2	Protection from legal prosecution	Protection from legal consequences of cowardice	Immunity from prosecution	False	Protection from legal prosecution	Discusses allowing 'laws to slumber' so citizens would not be 'harmed by the laws' for cowardice.
tlg0007.tlg068.perseus-eng3::3	Protection from corporal punishment	Protection from corporal punishment	Protection from penal corporal punishment	False	Protection from corporal punishment	Describes scouring clothes 'instead of their bodies' as a state-ordained punishment.
tlg0007.tlg069.perseus-eng3::0	Right to bodily autonomy	Freedom from adult oversight	Freedom from state supervision	False	Right to bodily autonomy	Describes young men being 'released from the care of tutors' upon reaching a certain age.
tlg0007.tlg069.perseus-eng3::1	Political power	Right to self-governance	Freedom from state supervision	False	Right to bodily autonomy	Refers to no longer being 'subject to authority' after assuming the 'garb of a man'.
tlg0007.tlg069.perseus-eng3::2	Right to citizenship	Right to naturalized citizenship	Right to citizenship	False	Right to citizenship	Discusses 'newly naturalized citizens' and their relationship to the law.
tlg0007.tlg079.perseus-eng3::1	Right to drink wine	Right to consume alcohol	Right to bodily autonomy	True	Right to bodily autonomy	Refers to laws prohibiting slaves from getting drunk, having love-affairs, or rubbing down like athletes.
tlg0007.tlg080.perseus-eng3::0	Right to bodily autonomy	Right to change masters	Personal liberty	False	Protection from enslavement	Concerns the right of slaves to 'demand a sale' to change masters, a form of limited labor autonomy.
tlg0007.tlg080.perseus-eng3::3	Protection from public libel	Protection from political envy	Immunity from prosecution	False	Protection from legal prosecution	Mentions that one who 'holds no office' is exempt from 'envy' (social/legal hostility).
tlg0007.tlg082.perseus-eng3::0	Right to own land	Right to own land	Owning land	False	Right to own land	The verbatim discusses a treaty regarding 'Greek cities' and 'invasive Phrygia' in the context of territorial control/land ownership.
tlg0007.tlg082.perseus-eng3::2	Exemption from manual labor	Exemption from menial calling	Exemption from manual or agricultural labor	False	Exemption from manual labor	The text explicitly mentions a 'prohibition against their practising or learning any menial calling.'
tlg0007.tlg082.perseus-eng3::3	Exemption from manual labor	Exemption from agricultural labor	Exemption from manual or agricultural labor	False	Exemption from manual labor	The rule describes putting 'fields in the hands of the Helots' instead of citizens doing the labor themselves.
tlg0007.tlg082.perseus-eng3::5	Access to the gymnasium	Access to physical training	Access to physical training	False	Access to the gymnasium	The verbatim mentions 'strenuous exercise... in races and wrestling and throwing the discus and javelin.'
tlg0007.tlg082.perseus-eng3::6	Right to own property	Right to hold gold and silver	Owning and retaining property	False	Right to retain property	The decree forbids the value of 'gold and silver coin' and regulates the use of 'iron money.'
tlg0007.tlg082.perseus-eng3::7	Eligibility for public office	Exclusive eligibility for kingship	Eligibility for the kingship	False	Eligibility for public office	The text discusses taking away the 'kingship' from specific lineages to make it elective.
tlg0007.tlg082.perseus-eng3::8	Right to own land	Right to an equal land allotment	Owning land	False	Right to own land	The verbatim refers to a 'redistribution of the land' and assigning an 'equal share.'
tlg0007.tlg082b.perseus-eng2::0	Political power	Influence over others	Deliberative authority	False	Political power	The daughter of the king advises her father on whether to enter a war, exercising influence on state policy.
tlg0007.tlg082b.perseus-eng2::1	Political power	Influence over others	Local self-governance	False	Political power	The text refers to Spartan women 'lording it over' their men, specifically in the domestic/social sphere.
tlg0007.tlg082b.perseus-eng2::3	Political power	Political power	Personal liberty	False	Protection from enslavement	The 'sinner against our laws' (cowardice) resulted in summary justice by the mother based on civic standards of conduct.
tlg0007.tlg082b.perseus-eng2::4	Right to bodily autonomy	Right to autonomous sexual choice	Freedom of choice in marriage	False	Right to bodily autonomy	The woman defers sexual/marital overtures to her husband or father, defining the mediation of choice.
tlg0007.tlg082b.perseus-eng2::5	Protection from corporal punishment	Protection from degrading treatment	Protection from private assault	False	Protection from corporal punishment	The slave refuses to do something 'not fitting for a free woman' and chooses death over degradation/abuse.
tlg0007.tlg088.perseus-eng3::1	Right to retain property	Right to retain private wealth	Exemption from liturgies	False	Exemption from compulsory public financing	The text criticizes 'lavishing on the theatre' (liturgies like the choregeia) what could pay for fleets.
tlg0007.tlg088.perseus-eng3::3	Right to vote in the Ekklesia	Right to equal suffrage	Voting in the assembly	False	Right to vote in the Ekklesia	The text states the Athenian people 'bestowed upon Greece equal suffrage with themselves.'
tlg0007.tlg093.perseus-eng3::2	Protection from corporal punishment	Protection from physical mutilation	Protection from penal corporal punishment	False	Protection from corporal punishment	The text mentions that Scythians 'blind their slaves,' a form of extreme corporal mutilation.
tlg0007.tlg109.perseus-eng2::0	Political power	Freedom of political association	Resident allowance for the poor	False	Right to remuneration for office	The speaker fears being suspected of leaning too much toward 'the Boeotian interest' while residing in Athens.
tlg0007.tlg109.perseus-eng2::3	Right to freedom of movement	Freedom of movement in public	Freedom of movement	False	Right to freedom of movement	The verbatim describes women running out to meet others, breaking the usual 'Boeotian strictness' or restraint.
tlg0007.tlg109.perseus-eng2::4	Right to a legal trial	Right to a trial at law	Right to a trial	False	Right to a legal trial	The text explicitly states the desire for 'no citizens put to death without a trial at law.'
tlg0007.tlg122.perseus-eng3::2	Access to public honors	Right to banquet entertainment	Access to common meals	False	Access to public honors	The works are used 'at banquets' for instruction and entertainment among the learned.
tlg0007.tlg126.perseus-eng3::1	Right to reside in the city	Right to settle in a foreign land	Right of residence	False	Right to reside in the city	The text mentions those who 'choose to settle in the spot' after their term of service.
tlg0007.tlg126.perseus-eng3::2	Right to freedom of movement	Right to return to homeland	Freedom of movement	False	Right to freedom of movement	The verbatim refers to those allowed to 'sail off home' after their service.
tlg0007.tlg139.perseus-eng2::0	Protection from corporal punishment	Protection from corporal punishment	Protection from penal corporal punishment	False	Protection from corporal punishment	Mentions avoiding 'evil' in the context of 'stripes they received by whipping' and 'gaol'.
tlg0007.tlg139.perseus-eng2::2	Eligibility for public office	Eligibility for the archonship and public offices	Eligibility for public office	False	Eligibility for public office	The text explicitly names 'magistrature' and 'public offices'.
tlg0007.tlg139.perseus-eng2::3	Exemption from compulsory public financing	Exemption from compulsory public financing	Exemption from liturgies	False	Exemption from compulsory public financing	Describes rich men making 'public entertainments' and 'feasts at solemnities' (liturgical functions).
tlg0008.tlg001.perseus-eng2::2	Access to public honors	Access to the prytaneum	Access to common meals	False	Access to public honors	Refers to those 'fed at the prytaneum' and allowed to 'sup' there.
tlg0008.tlg001.perseus-eng2::3	Access to religious rites	Participation in sacred sacrifices	Participation in sacred rites	False	Access to religious rites	Directly mentions being allowed to 'enter the temple' and 'taste any one of the things... prepared for the sacrifice'.
tlg0008.tlg001.perseus-eng2::5	Right to drink wine	Right to drink wine	Right to consume wine	True	Right to bodily autonomy	The specific resource is the consumption of wine, distinct from broader autonomy or meals.
tlg0008.tlg001.perseus-eng2::6	Right to drink wine	Right to drink wine	Right to consume wine	True	Right to bodily autonomy	Explicitly forbids women to 'drink wine at all'.
tlg0008.tlg001.perseus-eng2::7	Right to drink wine	Right to drink wine	Right to consume wine	True	Right to bodily autonomy	Specifies that no youth or slave 'ever drank wine'.
tlg0008.tlg001.perseus-eng2::8	Access to public honors	Communal dining (Syssitia)	Access to common meals	False	Access to public honors	Describes contributions to the 'phiditium' (Spartan syssitia/common meals).
tlg0008.tlg001.perseus-eng2::9	Right to reside in the city	Right of residence in Attica	Right of residence	False	Right to reside in the city	A decree to 'banish' implies the removal of the right of residence.
tlg0010.tlg004.perseus-eng2::0	Right to a legal trial	Protection from condemnation in absentia	Right to a trial	False	Right to a legal trial	The grievance is 'condemning him in his absence' instead of a trial.
tlg0010.tlg004.perseus-eng2::1	Exemption from compulsory public financing	Exemption from public service costs	Exemption from liturgies	False	Exemption from compulsory public financing	Lists specific liturgies: 'choregus and gymnasiarch and trierarch'.
tlg0010.tlg004.perseus-eng2::2	Protection from legal prosecution	Protection from prosecution for past political acts	Immunity from prosecution	False	Protection from legal prosecution	Refers to the 'terms of the amnesty' preventing legal action for 'old grudges'.
tlg0010.tlg004.perseus-eng2::3	Right to citizenship	Right to retain citizenship	Right to citizenship	False	Right to citizenship	Explicitly mentions the danger of 'disfranchisement'.
tlg0010.tlg004.perseus-eng2::4	Right to retain property	Right to property compensation	Owning and retaining property	False	Right to retain property	Concerns being 'deprived of the land' given as compensation.
tlg0010.tlg006.perseus-eng2::0	Right to dispose of property	Right to execute valid wills	Disposing of property by will	False	Right to dispose of property	Specifies the requirement for a 'will' to be 'drawn in accordance with this law'.
tlg0010.tlg006.perseus-eng2::2	Right to dispose of property	Right to appoint heirs	Right to adoption	False	Right to adopt	Explicitly mentions the law 'which permits us to adopt children'.
tlg0010.tlg010.perseus-eng2::0	Exemption from military service	Exemption from the hazards of fighting	Exemption from military service	False	Exemption from military service	Mentions 'exemption from the hazards of fighting'.
tlg0010.tlg010.perseus-eng2::1	Right to retain own earnings	Right to acquire affluence	Retaining one's own earnings	False	Right to retain own earnings	Refers to priests acquiring 'affluence' from 'revenues of the sacrifices'.
tlg0010.tlg010.perseus-eng2::2	Right to freedom of movement	Right to leave the country	Freedom of movement	False	Right to freedom of movement	verbatim specifies 'no citizen... could leave the country without official authorization'
tlg0010.tlg010.perseus-eng2::4	Right to freedom of movement	Right to change occupations	Exemption from manual or agricultural labor	False	Exemption from manual labor	the rule concerns the requirement that 'the same individuals should always engage in the same pursuits' vs changing occupations
tlg0010.tlg010.perseus-eng2::5	Political power	Political power over important matters	Deliberative authority	False	Political power	verbatim refers to appointing older men to 'have charge of the most important matters'
tlg0010.tlg011.perseus-eng2::0	Political power	Right to provide political counsel	Speaking in the assembly	False	Right to address the assembly	the speaker has 'come before you to give my counsels' regarding war and concord
tlg0010.tlg011.perseus-eng2::1	Access to public honors	Access to public subsidies	Resident allowance for the poor	False	Right to remuneration for office	describes the city as a 'securest refuge' for 'those who are unfortunate', implies public support
tlg0010.tlg011.perseus-eng2::3	Eligibility for public office	Right to hold public office	Eligibility for public office	False	Eligibility for public office	verbatim discusses people being 'robbed by law of their share in the government'
tlg0010.tlg013.perseus-eng2::0	Right to free speech	Freedom of speech	Speaking in the assembly	False	Right to address the assembly	explicitly mentions 'freedom of speech' (parrhesia) as a privilege of civic life
tlg0010.tlg014.perseus-eng2::1	Right to citizenship	Protection of property and person	Protection from property seizure	False	Right to retain property	verbatim lists 'confiscation of property' as a misfortune from which citizens were protected
tlg0010.tlg014.perseus-eng2::3	Political power	Right of free association	Local self-governance	False	Political power	is_new: false. The rule prohibits 'political societies or unions' without sanction
tlg0010.tlg014.perseus-eng2::4	Right to citizenship	Right to noble lineage and status	Inheriting property	False	Right to inherit property	discusses 'legitimate birth' and ensuring children are not 'cheated of this noble origin' in succession
tlg0010.tlg019.perseus-eng2::0	Exemption from compulsory public financing	Exemption from compulsory public financing	Exemption from liturgies	False	Exemption from compulsory public financing	verbatim mentions being 'challenged to an exchange of property on the question of a trierarchy'
tlg0010.tlg019.perseus-eng2::1	Right to a legal trial	Right to impartial legal hearing	Right to a trial	False	Right to a legal trial	refers to 'granting to the accused the right of making a defense' and hearing both sides
tlg0010.tlg019.perseus-eng2::2	Exemption from taxes	Exemption from war-tax (eisphora)	Exemption from taxes	False	Exemption from taxes	verbatim mentions being enrolled among those who 'pay the war-taxes' (eisphora)
